'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'PRIV-USD','15m','PRIV-USD','2021-09-01','2021-09-25','22','15.51','-10.75',721,'32','2.78','67.02','2','6',1728,-297,'7','15','-26.98'
'RUNE-USD','15m','RUNE-USD','2021-09-01','2021-09-25','11','14.99','-10.92',668,'36','2.95','61.18','2','4',2254,-305,'4','7','-19.42'
'DENT-USD','15m','DENT-USD','2021-09-01','2021-09-25','14','12.2','-7.29',437,'43','2.5','60.0','2','3',1433,-254,'6','8','-31.8'
'XTZ-USD','15m','XTZ-USD','2021-09-01','2021-09-25','15','13.51','-10.88',536,'33','2.45','49.24','2','4',1932,-300,'5','10','35.86'
'PERP-USD','15m','PERP-USD','2021-09-01','2021-09-25','11','12.31','-9.26',445,'55','3.33','48.01','4','3',802,-280,'6','5','-39.44'
'LINK-USD','15m','LINK-USD','2021-09-01','2021-09-25','15','10.47','-6.97',328,'33','2.32','47.1','1','3',1397,-291,'5','10','-12.51'
'SRN-USD','15m','SRN-USD','2021-09-01','2021-09-25','15','12.62','-10.31',467,'47','2.43','45.28','4','5',1332,-267,'7','8','-22.82'
'XLM-USD','15m','XLM-USD','2021-09-01','2021-09-25','15','10.29','-7.75',318,'40','2.97','41.0','2','5',1082,-257,'6','9','-17.06'
'BCH-USD','15m','BCH-USD','2021-09-01','2021-09-25','17','11.17','-9.19',369,'29','2.92','40.15','2','5',1131,-251,'5','12','-19.16'
'PUNDIX-USD','15m','PUNDIX-USD','2021-09-01','2021-09-25','18','10.54','-8.4',332,'28','2.16','39.53','1','3',2193,-303,'5','13','-27.18'
