'Pair','TF','Dna','StartDate','EndDate','TotalTrades','TotalNetProfit','Max.DD','AnnualProfit','Winrate','Sharpe','Calmar','Serenity','WinningStrike','LosingStrike','LargestWinning','LargestLosing','Num.ofWins','Num.ofLoses','MarketChange'
'DASH-USDT','5m','DASH-USDT','2021-10-01','2021-11-15','77','-19.41','-74.51',-82,'31','-0.06','0.53','-1.1','3','7',3157,-2505,'24','53','38.09'
'AUDIO-USDT','5m','AUDIO-USDT','2021-10-01','2021-11-15','105','-78.58','-90.41',-100,'30','-0.18','-1.53','-1.11','3','11',2445,-1676,'31','74','20.73'
'SNX-USDT','5m','SNX-USDT','2021-10-01','2021-11-15','86','-76.74','-89.36',-100,'24','-0.15','-2.81','-1.12','3','16',3415,-1768,'21','65','4.6'
'MASK-USDT','5m','MASK-USDT','2021-10-01','2021-11-15','116','-80.07','-88.69',-100,'29','-0.33','-0.01','-1.13','4','14',2488,-2117,'34','82','62.58'
'RVN-USDT','5m','RVN-USDT','2021-10-01','2021-11-15','102','-85.47','-88.79',-100,'30','-0.2','-2.32','-1.13','4','12',2530,-1718,'31','71','35.25'
'DOGE-USDT','5m','DOGE-USDT','2021-10-01','2021-11-15','83','-74.23','-87.52',-100,'24','-0.21','-1.56','-1.14','3','11',3794,-2617,'20','63','28.71'
'BZRX-USDT','5m','BZRX-USDT','2021-10-01','2021-11-15','95','-64.39','-87.8',-100,'33','-0.18','-0.24','-1.14','3','8',2978,-5049,'31','64','34.37'
'BAKE-USDT','5m','BAKE-USDT','2021-10-01','2021-11-15','89','-78.66','-87.56',-100,'27','-0.13','-3.76','-1.14','2','9',1231,-1139,'24','65','27.9'
'SXP-USDT','5m','SXP-USDT','2021-10-01','2021-11-15','87','-82.35','-87.52',-100,'25','-0.15','-4.01','-1.14','3','17',2269,-1556,'22','65','16.67'
'ATA-USDT','5m','ATA-USDT','2021-10-01','2021-11-15','105','-79.15','-87.7',-100,'32','-0.3','-2.0','-1.14','4','8',3442,-2846,'34','71','61.84'
'WAVES-USDT','5m','WAVES-USDT','2021-10-01','2021-11-15','80','-80.65','-87.07',-100,'22','-0.17','-4.01','-1.15','3','12',2790,-1652,'18','62','-3.23'
