['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Losses', 'Market Change']
['ETH-USD', '5m', 'Q]1]i', '2021-08-01', '2021-09-25', '25', '-4.86', '-12.82', -28, '28', '-0.73', '-2.16', '2', '5', 597, -333, '7', '18', '15.62']
['ETH-USD', '5m', 'V6POp', '2021-08-01', '2021-09-25', '25', '8.17', '-5.7', 67, '48', '1.82', '11.73', '3', '5', 836, -222, '12', '13', '15.62']
['ETH-USD', '5m', '3K:Op', '2021-08-01', '2021-09-25', '36', '-2.09', '-10.67', -13, '33', '-0.31', '-1.2', '2', '4', 621, -294, '12', '24', '15.62']
['ETH-USD', '5m', 'N43VI', '2021-08-01', '2021-09-25', '74', '16.76', '-9.26', 174, '41', '3.42', '18.84', '4', '5', 436, -201, '30', '44', '15.62']
['ETH-USD', '5m', 'N7W=I', '2021-08-01', '2021-09-25', '69', '11.23', '-11.75', 100, '42', '2.03', '8.52', '5', '4', 617, -197, '29', '40', '15.62']
['ETH-USD', '5m', '5J:VV', '2021-08-01', '2021-09-25', '72', '10.81', '-8.78', 95, '33', '1.91', '10.85', '4', '6', 820, -279, '24', '48', '15.62']
['ETH-USD', '5m', 'n2mIZ', '2021-08-01', '2021-09-25', '44', '3.88', '-10.88', 28, '48', '0.88', '2.59', '3', '5', 470, -268, '21', '23', '15.62']
['ETH-USD', '5m', '?2_b[', '2021-08-01', '2021-09-25', '62', '17.84', '-5.83', 192, '40', '3.52', '32.84', '2', '5', 759, -279, '25', '37', '15.62']
['ETH-USD', '5m', '\\OPOp', '2021-08-01', '2021-09-25', '30', '-4.84', '-11.94', -28, '33', '-0.74', '-2.31', '3', '5', 649, -342, '10', '20', '15.62']
['ETH-USD', '5m', '>LPVp', '2021-08-01', '2021-09-25', '30', '5.4', '-6.84', 41, '43', '1.18', '5.98', '4', '5', 921, -334, '13', '17', '15.62']
['ETH-USD', '5m', '<]hVU', '2021-08-01', '2021-09-25', '41', '-0.27', '-9.76', -2, '41', '0.12', '-0.18', '4', '5', 569, -349, '17', '24', '15.62']
['ETH-USD', '5m', '+SWVm', '2021-08-01', '2021-09-25', '37', '5.95', '-6.13', 46, '35', '1.47', '7.47', '2', '6', 943, -267, '13', '24', '15.62']
['ETH-USD', '5m', '<ZWgI', '2021-08-01', '2021-09-25', '48', '7.54', '-10.56', 61, '38', '1.43', '5.74', '3', '9', 775, -303, '18', '30', '15.62']
['ETH-USD', '5m', ',lL9Z', '2021-08-01', '2021-09-25', '56', '12.65', '-8.41', 117, '36', '2.2', '13.95', '3', '10', 1229, -260, '20', '36', '15.62']
['ETH-USD', '5m', ':fj>L', '2021-08-01', '2021-09-25', '40', '5.49', '-9.31', 42, '32', '1.1', '4.47', '2', '5', 743, -372, '13', '27', '15.62']
['ETH-USD', '5m', 'VUPOm', '2021-08-01', '2021-09-25', '28', '-3.27', '-9.54', -19, '25', '-0.45', '-2.04', '3', '7', 649, -279, '7', '21', '15.62']
['ETH-USD', '5m', '.mVgI', '2021-08-01', '2021-09-25', '50', '3.24', '-9.14', 23, '34', '0.71', '2.52', '3', '6', 763, -257, '17', '33', '15.62']
['ETH-USD', '5m', 'G<v<v', '2021-08-01', '2021-09-25', '48', '-2.58', '-14.31', -16, '42', '-0.33', '-1.1', '3', '5', 677, -234, '20', '28', '15.62']
['ETH-USD', '5m', 'wc:OV', '2021-08-01', '2021-09-25', '29', '-5.07', '-17.39', -29, '28', '-0.71', '-1.66', '2', '8', 718, -334, '8', '21', '15.62']
