['Pair', 'TF', 'Dna', 'Start Date', 'End Date', 'Total Trades', 'Total Net Profit', 'Max.DD', 'Annual Profit', 'Winrate', 'Sharpe', 'Calmar', 'Serenity', 'Winning Strike', 'Losing Strike', 'Largest Winning', 'Largest Losing', 'Num. of Wins', 'Num. of Loses', 'Market Change']
['SKL-USDT', '30m', 'SKL-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['REEF-USDT', '30m', 'REEF-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['HNT-USDT', '30m', 'HNT-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['TRB-USDT', '30m', 'TRB-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['FLM-USDT', '30m', 'FLM-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['BTS-USDT', '30m', 'BTS-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['MTL-USDT', '30m', 'MTL-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['RVN-USDT', '30m', 'RVN-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['ZIL-USDT', '30m', 'ZIL-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
['YFII-USDT', '30m', 'YFII-USDT', '2021-05-01', '2021-10-10', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
